major_heading,activity_code,met_value,activity_description,source_page,source_document,population,met_basis,resting_vo2_ml_kg_min
Bicycling,0101060,5.3,"Bicycling, stationary, general, moderate effort",1,2_2024-older-adult-compendium_1_2024.pdf,older_adult,met60_plus,2.7
Bicycling,0101160,4.3,"Bicycling, stationary, 30-50 watts, moderate effort",1,2_2024-older-adult-compendium_1_2024.pdf,older_adult,met60_plus,2.7
Bicycling,0101260,6.3,"Bicycling, stationary, 90-100 watts, vigorous effort",1,2_2024-older-adult-compendium_1_2024.pdf,older_adult,met60_plus,2.7
Bicycling,0101360,7.8,"Bicycling, stationary, 101-160 watts, vigorous effort",1,2_2024-older-adult-compendium_1_2024.pdf,older_adult,met60_plus,2.7
Bicycling,0101760,4.5,"Bicycling, stationary, 51-89 watts, moderate-to-vigorous effort",1,2_2024-older-adult-compendium_1_2024.pdf,older_adult,met60_plus,2.7
Conditioning Activities,0202260,3.5,"Calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort",1,2_2024-older-adult-compendium_1_2024.pdf,older_adult,met60_plus,2.7
Conditioning Activities,0203560,4.5,"Circuit training, Parcour-type, moderate effort",1,2_2024-older-adult-compendium_1_2024.pdf,older_adult,met60_plus,2.7
Conditioning Activities,0204760,3.0,"Elliptical trainer, light effort",1,2_2024-older-adult-compendium_1_2024.pdf,older_adult,met60_plus,2.7
Conditioning Activities,0205160,3.0,"Resistance (weight) training, squats , light effort",1,2_2024-older-adult-compendium_1_2024.pdf,older_adult,met60_plus,2.7
Conditioning Activities,0205360,2.3,"Resistance Training, general, light effort",1,2_2024-older-adult-compendium_1_2024.pdf,older_adult,met60_plus,2.7
Conditioning Activities,0205460,4.3,"Resistance (weight) training, multiple exercises, 8-15 repetitions at varied resistance",1,2_2024-older-adult-compendium_1_2024.pdf,older_adult,met60_plus,2.7
Conditioning Activities,0206260,5.0,"Health club exercise, conditioning classes",1,2_2024-older-adult-compendium_1_2024.pdf,older_adult,met60_plus,2.7
Conditioning Activities,0206360,3.8,"Health club exercise, conditioning classes, chair-based",1,2_2024-older-adult-compendium_1_2024.pdf,older_adult,met60_plus,2.7
Conditioning Activities,0207260,6.5,"Rowing, stationary, 50 to 99 watts, moderate-to-vigorous effort",1,2_2024-older-adult-compendium_1_2024.pdf,older_adult,met60_plus,2.7
Conditioning Activities,0207360,9.0,"Rowing, stationary, 100 to 149 watts, vigorous effort",1,2_2024-older-adult-compendium_1_2024.pdf,older_adult,met60_plus,2.7
Conditioning Activities,0211360,3.5,"Therapeutic exercise ball, Fitball exercise, chair exercise",1,2_2024-older-adult-compendium_1_2024.pdf,older_adult,met60_plus,2.7
Conditioning Activities,0219060,2.5,"Yoga, general",1,2_2024-older-adult-compendium_1_2024.pdf,older_adult,met60_plus,2.7
Conditioning Activities,0219160,2.8,"Yoga, chair, general",1,2_2024-older-adult-compendium_1_2024.pdf,older_adult,met60_plus,2.7
Conditioning Activities,0221060,3.8,"Tai Chi, general",1,2_2024-older-adult-compendium_1_2024.pdf,older_adult,met60_plus,2.7
Conditioning Activities,0221160,2.8,"Tai Chi, chair, general",1,2_2024-older-adult-compendium_1_2024.pdf,older_adult,met60_plus,2.7
Dancing,0303060,6.0,"Ballroom Dance (tango, slow waltz, foxtrot)",1,2_2024-older-adult-compendium_1_2024.pdf,older_adult,met60_plus,2.7
Dancing,0303160,6.3,"Dance class, General",1,2_2024-older-adult-compendium_1_2024.pdf,older_adult,met60_plus,2.7
Dancing,0303260,7.3,"Smooth Dance (Mazurka, Viennese Walk, Polka)",1,2_2024-older-adult-compendium_1_2024.pdf,older_adult,met60_plus,2.7
Home Activities,0501060,4.3,"Cleaning, sweeping carpet or floors, general",1,2_2024-older-adult-compendium_1_2024.pdf,older_adult,met60_plus,2.7
Home Activities,0502160,4.3,"Cleaning, mopping, standing, Moderate effort",1,2_2024-older-adult-compendium_1_2024.pdf,older_adult,met60_plus,2.7
